lag_analyzed_frames	lag_coordinate	acf
127	2.54	0.18141075974921825
128	2.56	0.1899330878376889
129	2.58	0.19771926344664817
130	2.6	0.2049601419924782
131	2.62	0.2117687498105603
132	2.64	0.2194814046392569
133	2.66	0.22576834541242166
134	2.68	0.23096291740452463
135	2.7	0.23547834895261585
136	2.72	0.24112083812658197
137	2.74	0.2471257383499219
138	2.7600000000000002	0.25101515147224523
139	2.7800000000000002	0.2538371843948387
140	2.8000000000000003	0.2566623836981832
141	2.82	0.2593139785945653
142	2.84	0.26014978476444206
143	2.86	0.2610721807945389
144	2.88	0.26167138088537656
145	2.9	0.26085235757132846
146	2.92	0.25913443274088344
147	2.94	0.2548612951279912
148	2.96	0.24976328842110115
149	2.98	0.24527063534609556
150	3.0	0.2394646896493673
151	3.02	0.2332330730306307
152	3.04	0.22657324369937415
153	3.06	0.22053132577328657
154	3.08	0.21235587845414455
155	3.1	0.203800956883665
156	3.12	0.1958274688488255
157	3.14	0.18809277411753128
158	3.16	0.18119005743456193
159	3.18	0.17418777901623647
160	3.2	0.1668047604206784
161	3.22	0.15966531467618073
162	3.24	0.151863267321982
163	3.2600000000000002	0.14276381150157388
164	3.2800000000000002	0.13229858429258112
165	3.3000000000000003	0.12288701101990843
166	3.3200000000000003	0.11233439274977333
167	3.34	0.10050941005622892
168	3.36	0.08778544744006289
169	3.38	0.07519066860110388
170	3.4	0.060552941563886346
171	3.42	0.04588191211295693
172	3.44	0.03053824690504848
173	3.46	0.01451155408465103
174	3.48	-0.00022044501672090856
175	3.5	-0.015313118190807476
176	3.52	-0.0313309253849996
177	3.54	-0.04612716263289216
178	3.56	-0.060404835413252034
179	3.58	-0.07415357005388241
180	3.6	-0.08794930035455957
