time (ns)	SYNTHETIC_replica_1	SYNTHETIC_replica_2	SYNTHETIC_replica_3
4.96	18.017945		18.089521
4.98	18.002071		18.049458
5	17.971206		18.048465
5.02	17.997648		18.052478
5.04	17.969083		18.037723
5.06	18.003991		18.04973
5.08	17.957935		18.06121
5.1	17.930057		18.028547
5.12	18.005203		18.025093
5.14	17.917473		18.035213
5.16	17.981499		18.028813
5.18	17.955518		18.035475
5.2	17.931643		17.992599
5.22	17.91379		17.990161
5.24	17.913153		17.980973
5.26	17.89523		17.986475
5.28	17.923334		17.989866
5.3	17.936281		17.960505
5.32	17.910274		17.983766
5.34	17.857635		17.965371
5.36	17.892265		17.950034
5.38	17.872963		17.959085
5.4	17.893508		17.979132
5.42	17.875524		17.942941
5.44	17.894718		17.953015
5.46	17.874673		17.999997
5.48	17.844568		17.978303
5.5	17.885774		17.979048
5.52	17.891548		17.96936
5.54	17.888828		17.956302
5.56	17.847866		17.963383
5.58	17.874459		17.97304
5.6	17.830037		17.939476
5.62	17.860714		17.925131
5.64	17.818335		17.941214
5.66	17.840762		17.931432
5.68	17.822305		17.891745
5.7	17.797279		17.941811
5.72	17.829419		17.899446
5.74	17.82883		17.921829
5.76	17.821423		17.936678
5.78	17.83466		17.92008
5.8	17.858339		17.928463
5.82	17.866904		17.928741
5.84	17.819752		17.920331
5.86	17.81374		17.973264
5.88	17.842967		17.935527
5.9	17.852267		17.902216
5.92	17.827101		17.918941
5.94	17.845688		17.905111
5.96	17.809625		17.894946
5.98	17.846043		17.916981
6			17.907521
6.02			17.936625
6.04			17.902779
6.06			17.916983
6.08			17.929826
6.1			17.920901
6.12			17.943888
6.14			17.943721
6.16			17.969528
6.18			17.937036
6.2			17.963842
6.22			17.971712
6.24			17.99764
6.26			17.98399
6.28			17.96345
6.3			17.937356
6.32			17.973718
6.34			17.960513
6.36			18.012839
6.38			18.009535
6.4			17.98981
6.42			17.974703
6.44			18.005574
6.46			18.013551
6.48			18.008105
6.5			18.025054
6.52			18.04039
6.54			18.044328
6.56			18.065493
6.58			18.050728
6.6			18.073543
6.62			18.066681
6.64			18.114044
6.66			18.094109
6.68			18.075722
6.7			18.096905
6.72			18.096382
6.74			18.100036
6.76			18.070409
6.78			18.097198
6.8			18.127751
6.82			18.143838
6.84			18.110642
6.86			18.12383
6.88			18.146948
6.9			18.184954
6.92			18.175199
6.94			18.150981
6.96			18.160231
6.98			18.188001
7			18.194046
7.02			18.169628
7.04			18.175229
7.06			18.219405
7.08			18.214171
7.1			18.199019
7.12			18.201638
7.14			18.196658
7.16			18.2434
7.18			18.269906
