replica	analysis	section	series	kind	coordinate	coordinate_y	value	unit	coordinate_unit	source
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.26		1.470907	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.28		1.4691637	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.3		1.4749738	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.32		1.4883537	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.34		1.5010124	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.36		1.5172678	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.38		1.5178117	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.4		1.5477824	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.42		1.5428721	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.44		1.5435746	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.46		1.5338377	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.48		1.5660716	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.5		1.5996406	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.52		1.6174769	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.54		1.619682	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.56		1.6428177	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.58		1.6295078	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.6		1.6306753	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.62		1.6149602	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.64		1.6060099	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.66		1.6050431	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.68		1.6196282	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.7		1.6027476	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.72		1.5885846	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.74		1.5789954	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.76		1.566611	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.78		1.5444957	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.8		1.5564606	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.82		1.5474548	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.84		1.5316798	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.86		1.5325681	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.88		1.534214	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.9		1.5189142	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.92		1.5058789	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.94		1.4920953	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.96		1.484624	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.98		1.4972495	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1		1.5059053	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.02		1.4815083	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.04		1.5095575	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.06		1.5430723	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.08		1.5508305	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.1		1.5325426	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.12		1.5161322	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.14		1.5059786	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.16		1.518075	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.18		1.4995383	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.2		1.4983332	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.22		1.4901013	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.24		1.4930969	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.26		1.4466341	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.28		1.4198382	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.3		1.4394073	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.32		1.4772544	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.34		1.49235	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.36		1.4883556	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.38		1.4795978	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.4		1.5147419	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.42		1.5090874	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.44		1.4831013	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.46		1.5031667	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.48		1.5188794	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.5		1.5136728	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.52		1.5030925	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.54		1.4591629	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.56		1.4356638	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.58		1.4620146	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.6		1.4511845	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.62		1.4329165	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.64		1.4421598	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.66		1.4543764	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.68		1.4382739	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.7		1.4655197	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.72		1.4875383	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.74		1.4789611	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.76		1.4841682	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.78		1.4913846	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.8		1.4885209	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.82		1.5101297	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.84		1.4946339	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.86		1.509776	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.88		1.5568992	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.9		1.5587685	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.92		1.5587193	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.94		1.5404856	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.96		1.5360745	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	1.98		1.5563781	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2		1.5673786	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.02		1.5852628	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.04		1.5750957	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.06		1.5662041	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.08		1.555797	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.1		1.5305582	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.12		1.5526123	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.14		1.5527593	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.16		1.5734545	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.18		1.5979529	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.2		1.611846	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.22		1.6052027	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.24		1.573148	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.26		1.6009407	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.28		1.643003	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.3		1.6400566	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.32		1.6513963	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.34		1.6480843	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.36		1.6482158	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.38		1.6783687	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.4		1.7029225	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.42		1.7173112	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.44		1.7626921	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.46		1.8092349	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.48		1.8173887	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.5		1.8105053	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.52		1.7982979	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.54		1.8046055	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.56		1.8122757	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.58		1.8151108	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.6		1.7788232	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.62		1.7514986	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.64		1.752686	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.66		1.7406031	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.68		1.7233321	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.7		1.7401323	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.72		1.7458071	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.74		1.7793137	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.76		1.7959919	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.78		1.7859901	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.8		1.7820418	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.82		1.8052061	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.84		1.8342385	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.86		1.8402632	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.88		1.8386848	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.9		1.8601287	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.92		1.8396521	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.94		1.8410567	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.96		1.8335242	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	2.98		1.8284307	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	3		1.8598546	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	3.02		1.8775018	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	3.04		1.8886232	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	3.06		1.860343	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	3.08		1.8452084	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	3.1		1.8477025	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
